Participant ID,Topic ID,Date,Comments
P1,Q1,12/04/2018 10:31,I'm not going for somebody else
P3,Q1,12/04/2018 10:31,"Well. I'm going have to definitely argue for you know. This case. Primarily because I was not really covered here. But, I think one of the strongest arguments against it is the idea of. False accusations. And so. We can't exactly take back. The death penalty as a form of punishment. That's not something that can be done. These sort of imprisonment. And later exoneration attack happen. Fairly often I'd say. So there. Is definitely a precedent for this shouldn't Be allowed.
"
P2,Q1,12/04/2018 10:32,Good
P1,Q1,12/04/2018 10:32,I also say no. I Think one of the other issues is. The people. Actually ingest the person or. Kill them and have a lot of psychological effects after they do so. And I think that. Is not. Covered as well.
P2,Q1,12/04/2018 10:32,"For me, I think yes. Because. Given the situation. Sometimes if he or she might defend herself, that's absolutely no. But, if without any crime just to kill someone. I think so. The fair thing. For his family or her family, to do the death plenty. That's what I think."
P1,Q1,12/04/2018 10:32,"What you can go somewhere you like. It does seem like it helps the families heal but I think sometimes it can also be a negative for families. Some. I think there is one case where the family was like, that's on our hands and we don't want to kill the person. So I think it just depends as well. "
P2,Q1,12/04/2018 10:33,But maybe. I think in my opinion It's fair. Because. Maybe in the future someone from this family kills someone from another family because they think that's fair for them. That's what I mean. 
P3,Q1,12/04/2018 10:33,I It's you're kind of arguing from. The crime of passion Angle to some extent
P3,Q1,12/04/2018 10:34,OK. But that's the thing though having having the death penalty doesn't just the amount of incidences of crimes of passion because. People sell are overcome by hatred or jealousy or whatever it drives them to. Commit these heinous crimes. And that doesn't change whether. Whether the death penalty has or isn't there. People so. Do these things. At which point you bloodied the hands of someone in the justice system. And you've created the system where. It's entirely possible. To be wrongly held as a result of justice.
P2,Q1,12/04/2018 10:34,What do you think the best Punishment for the?
P3,Q1,12/04/2018 10:34,Imprisonment I suppose. I don't think there's much else that can be done
P3,Q1,12/04/2018 10:34,That's humane. I mean you can argue in many cases that. Since most crimes of this nature are like crimes of passion or whatever rather than like. Totally motivated by cold blood or. I don't know. But by serial killers or something that most people are still. Able to be rehabilitated in some way. So is that not came to. Our moral obligation.
P1,Q1,12/04/2018 10:35,How long is a prison sentence first and does commit murder. I don't know. Because I think. There is a possibility of getting out
P1,Q1,12/04/2018 10:35,After some time. Do. You know since this is your topic. How long is it the prison sentence for someone who commits murder. Because I think that would be another thing that would strike a lot of fear if I knew that someone had killed my family member or something. And then I could I knew that the next year they were getting out that would be.
P3,Q1,12/04/2018 10:35,I think maybe a life sentence which is 20 years here
P2,Q1,12/04/2018 10:35,20 years!!
P3,Q1,12/04/2018 10:35,"I think so. I think it scales depending on circumstance of course but, I think that intensity was doled out."
P5,Q5,12/04/2018 11:01,"The use of social network has some pros and cons. The original idea of social networking is good because the original idea to share information and to connect people to socialise so is 
socialization is a good advantage weed reduces social network but there are lots of problems because the first a lot of 
false information is harder to discriminate between and false information especially is a problem for younger people they think because name create 
an idea of some topics and subjects that are completely wrong also the general idea of the life, what’s the life? What is socialization? What is the 
communication? The other problem that this dissertation is not a good situation because you don't know very well we are the people and the problem of 
the most I think not masturbate a lot of the Yankees that spend too much time near comfort computer and then the improvement Association the real life today. 
Today in the psychological effects of them with respect to this kind of problem she's a he became the use of Internet addiction support and respect people the
government controlled about 2 hours use of networking I think that government of two together more rules for example to control the society that put information in the internet "
P6,Q5,12/04/2018 11:02,Like China 
P5,Q5,12/04/2018 11:02,"yeah yeah yeah Which city is the company that put advertisement because you go to get first I'm using it for me so big problem when they use social networking because 
I have an invention or advertisement and it's a bit stressful this kind of advertisement you click on a website and appeared to be advertisement . 
You cannot close the advertising before 10 or 15 seconds setting all this kind of invasion of false information they are not good for out for our, 
our healthy our psychological healthy and they think that the first action have two different sizes of the government not just so people because all 
I see is not simple to manage all kind of problems so what the problem is our government, I think. Mkes me feel upset also"
P4,Q5,12/04/2018 11:03,"You made a lot of different points in your speech.  I have a lot of points that i want to address, but I would like to focus on the main points, 
i think a lot of them is what you just said. Also, a lot of pros and cons that listed here. They kind of based under the assumption that the problems 
identified here and some of them identified by you, that are caused by social media but I tend to disagree that social media like never exits. 
It’s always exists like with the reputable society. It just enhance the way people behave so it's just, maybe it’s easier if i try to illustrate with an example. 
So, where it stays that social media enables the spread of unreliable and false information, 
I don't think this is true I think that it only makes it possible to spread false information faster and to spread on larger scale but the spread of false information, it was always existed."
P5,Q5,12/04/2018 11:05,In what way we can quickly recognize the false information? I don’t know
P4,Q5,12/04/2018 11:06,"I think it’s all about educating users about how recognize false news, about how to identify reliable sources and encouraging independent thinking. 
Also, disencouraging and bad healthy habits and bad healthy lifestyle. This way people can use social media platforms without having a negative effects in their 
social life without being a victim of addiction. I think lots of these negative habits people develop regressive habits and they have natural tendency because we human we always 
go with the easier way, and a lot of times it’s easier to socialize online than it’s to go out, meeting people -- someone who is highly shy. 
So in the same way that enforcement law use to catch criminals. Also criminals can make use of social media, the problem still exists and it would exist without the social media, 
they would just different form, I think?   To say about the government, I also disagree that the government should significantly interfere. I think either some regulation might be necessary. 
For example, protecting private data of citizens, and remembering the Facebook incident, which happened so recently. "
