Partipant iD,Date,Type,User,Link,Comment,Page
P6,12/04/2018 23:04,comment,Ah,,"In my opinion, murderers deserve the death penalty to keep communities and families safe.�",http://aalkharashi1.wixsite.com/discussion-topics/politics
P10,12/04/2018 17:04,comment,Joe,,"Not at all as it doesn't add any value, no fault should be corrected by another fault",http://aalkharashi1.wixsite.com/discussion-topics/politics
P14,12/04/2018 14:04,comment,Abdul,,Yes it should be,http://aalkharashi1.wixsite.com/discussion-topics/politics
P15,12/04/2018 14:04,comment,J,,"In terms of procedural justice, there a complications in the methods to determine convictions. For instance, can we justify the death penalty for manslaughter? I do agree with other comments that suggest political malpractice that could manipulate the death penalty for corrupt government goals. Within this there is a concern over current laws on humanitarian topics such as illegality of certain sexual orientations or cultural allowances of discrimination.
Regarding distributive justice, although it may for a time satiate grievances, the death penalty does little to address the origins of issues. Thus I believe attention should be more focused to rehabilitation and prevention programmes.
",http://aalkharashi1.wixsite.com/discussion-topics/politics
P11,43202.54544,comment,Abeer,,"Personally , I think that some heinous crimes should be punishable by death , even if this is not going to heal the wounds of victims  but I will send a strong statement for people not to do it.   for example , premeditated killing someone is not acceptable if I'm going to regret it years later. However , for the current time , legal systems are full of problems or corrupted. Especially in some countries where governments can do that to punish their enemies, so I think no as it as it usually end up killing more innocent people.
",http://aalkharashi1.wixsite.com/discussion-topics/politics
P5,12/04/2018 13:04,reply,filomena,,"I think the bias of people is that if something is not acceptable, the only solution is a strong punishment. But, If we don't match it with something that help the guilty, the only punishment is not useful. Clearly, I think also victims need more support by society, because they often believe that they need only of justice, but this is not enough to solve the trauma.",http://aalkharashi1.wixsite.com/discussion-topics/politics
P5,43202.462,comment,filomena,,"I don't agree with the death penalty. I think that if a person commits a murder, it's necessary a number of years of  imprisonment that is adequate, not only, to the crime, but also to the possibility of a social rehabilitation.
Punishment must be corrected during detention if the perpetrator improves his ability to return into society through a social rehabilitation program.
The death penalty teaches nothing and does not make our society better, while social rehabilitation during imprisonment could be an advantage.",http://aalkharashi1.wixsite.com/discussion-topics/politics
P12,12/04/2018 11:04,comment,Bob,,"The death penalty justifies killing people, on the basis that it is just, in certain circumstances -- I think it would be dangerous to introduce this into law.
",http://aalkharashi1.wixsite.com/discussion-topics/politics
P5,12/04/2018 12:04,reply,filomena,,I do't think the death penalty justifies killing people.. They kill people without to think the possible consequences or they think do not be discovered by police..,http://aalkharashi1.wixsite.com/discussion-topics/politics
P12,12/04/2018 12:04,reply,Bob,,But it does: it implies that is OK to kill someone if they are found guilty of breaking certain laws.�,http://aalkharashi1.wixsite.com/discussion-topics/politics
P5,12/04/2018 12:04,reply,filomena,,"So, if the death penalty justifies killing people, do you think that without it the murders number could be less? .. I`m not sure about this..",http://aalkharashi1.wixsite.com/discussion-topics/politics
P4,12/04/2018 10:04,comment,Konstantina,,"My aversion to crime makes me wants to agree. However, my education has taught me the the capital punishment has no places in a Democratic society. So, I am leaning to ""no"".",http://aalkharashi1.wixsite.com/discussion-topics/politics
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
